,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
604,42,No,Travel_Rarely,933,Research & Development,29,Bachelor,Life Sciences,1,836,Medium,Male,98,High,2,Manufacturing Director,Medium,Married,4434,11806,1,Y,No,13,Excellent,Very High,80,1,10,3,Good,9,8,7,8
605,38,No,Travel_Frequently,471,Research & Development,12,Bachelor,Life Sciences,1,837,Low,Male,45,Medium,2,Healthcare Representative,Low,Divorced,6288,4284,2,Y,No,15,Excellent,High,80,1,13,3,Good,4,3,1,2
606,34,No,Travel_Frequently,702,Research & Development,16,Master,Life Sciences,1,838,High,Female,100,Medium,1,Research Scientist,Very High,Single,2553,8306,1,Y,No,16,Excellent,High,80,0,6,3,Better,5,2,1,3
607,49,Yes,Travel_Rarely,1184,Sales,11,Bachelor,Marketing,1,840,High,Female,43,High,3,Sales Executive,Very High,Married,7654,5860,1,Y,No,18,Excellent,Low,80,2,9,3,Best,9,8,7,7
608,55,Yes,Travel_Rarely,436,Sales,2,Below College,Medical,1,842,High,Male,37,High,2,Sales Executive,Very High,Single,5160,21519,4,Y,No,16,Excellent,High,80,0,12,3,Good,9,7,7,3
611,35,No,Travel_Rarely,950,Research & Development,7,Bachelor,Other,1,845,High,Male,59,High,3,Manufacturing Director,High,Single,10221,18869,3,Y,No,21,Outstanding,Medium,80,0,17,3,Best,8,5,1,6
612,28,No,Travel_Rarely,760,Sales,2,Master,Marketing,1,846,Medium,Female,81,High,2,Sales Executive,Medium,Married,4779,3698,1,Y,Yes,20,Outstanding,Low,80,0,8,2,Better,8,7,7,5
613,34,No,Travel_Rarely,829,Human Resources,3,College,Human Resources,1,847,High,Male,88,High,1,Human Resources,Very High,Married,3737,2243,0,Y,No,19,Excellent,High,80,1,4,1,Bad,3,2,0,2
614,26,Yes,Travel_Frequently,887,Research & Development,5,College,Medical,1,848,High,Female,88,Medium,1,Research Scientist,High,Married,2366,20898,1,Y,Yes,14,Excellent,Low,80,1,8,2,Better,8,7,1,7
618,25,No,Travel_Rarely,180,Research & Development,2,Below College,Medical,1,854,Low,Male,65,Very High,1,Research Scientist,Low,Single,3424,21632,7,Y,No,13,Excellent,High,80,0,6,3,Good,4,3,0,1
620,35,No,Travel_Rarely,1343,Research & Development,27,Below College,Medical,1,856,High,Female,53,Medium,1,Research Scientist,Low,Single,2559,17852,1,Y,No,11,Excellent,Very High,80,0,6,3,Good,6,5,1,1
621,36,No,Travel_Rarely,928,Sales,1,College,Life Sciences,1,857,Medium,Male,56,High,2,Sales Executive,Very High,Married,6201,2823,1,Y,Yes,14,Excellent,Very High,80,1,18,1,Good,18,14,4,11
622,32,No,Travel_Rarely,117,Sales,13,Master,Life Sciences,1,859,Medium,Male,73,High,2,Sales Executive,Very High,Divorced,4403,9250,2,Y,No,11,Excellent,High,80,1,8,3,Good,5,2,0,3
625,45,No,Travel_Rarely,930,Sales,9,Bachelor,Marketing,1,864,Very High,Male,74,High,3,Sales Executive,Low,Divorced,10761,19239,4,Y,Yes,12,Excellent,High,80,1,18,2,Better,5,4,0,2
626,32,No,Travel_Rarely,638,Research & Development,8,College,Medical,1,865,High,Female,91,Very High,2,Research Scientist,High,Married,5175,22162,5,Y,No,12,Excellent,High,80,1,9,3,Good,5,3,1,3
628,37,No,Travel_Rarely,342,Sales,16,Master,Marketing,1,868,Very High,Male,66,Medium,2,Sales Executive,High,Divorced,6334,24558,4,Y,No,19,Excellent,Very High,80,2,9,2,Better,1,0,0,0
630,22,No,Travel_Rarely,1230,Research & Development,1,College,Life Sciences,1,872,Very High,Male,33,Medium,2,Manufacturing Director,Very High,Married,4775,19146,6,Y,No,22,Outstanding,Low,80,2,4,2,Bad,2,2,2,2
631,44,No,Travel_Rarely,986,Research & Development,8,Master,Life Sciences,1,874,Low,Male,62,Very High,1,Laboratory Technician,Very High,Married,2818,5044,2,Y,Yes,24,Outstanding,High,80,1,10,2,Good,3,2,0,2
632,42,No,Travel_Frequently,1271,Research & Development,2,Below College,Medical,1,875,Medium,Male,35,High,1,Research Scientist,Very High,Single,2515,9068,5,Y,Yes,14,Excellent,Very High,80,0,8,2,Better,2,1,2,2
633,36,No,Travel_Rarely,1278,Human Resources,8,Bachelor,Life Sciences,1,878,Low,Male,77,Medium,1,Human Resources,Low,Married,2342,8635,0,Y,No,21,Outstanding,High,80,0,6,3,Better,5,4,0,3
634,25,No,Travel_Rarely,141,Sales,3,Below College,Other,1,879,High,Male,98,High,2,Sales Executive,Low,Married,4194,14363,1,Y,Yes,18,Excellent,Very High,80,0,5,3,Better,5,3,0,3
636,35,Yes,Travel_Frequently,130,Research & Development,25,Master,Life Sciences,1,881,Very High,Female,96,High,1,Research Scientist,Medium,Divorced,2022,16612,1,Y,Yes,19,Excellent,Low,80,1,10,3,Good,10,2,7,8
637,32,No,Non-Travel,300,Research & Development,1,Bachelor,Life Sciences,1,882,Very High,Male,61,High,1,Laboratory Technician,Very High,Divorced,2314,9148,0,Y,No,12,Excellent,Medium,80,1,4,2,Better,3,0,0,2
638,25,No,Travel_Rarely,583,Sales,4,Below College,Marketing,1,885,High,Male,87,Medium,2,Sales Executive,Low,Married,4256,18154,1,Y,No,12,Excellent,Low,80,0,5,1,Best,5,2,0,3
639,49,No,Travel_Rarely,1418,Research & Development,1,Bachelor,Technical Degree,1,887,High,Female,36,High,1,Research Scientist,Low,Married,3580,10554,2,Y,No,16,Excellent,Medium,80,1,7,2,Better,4,2,0,2
640,24,No,Non-Travel,1269,Research & Development,4,Below College,Life Sciences,1,888,Low,Male,46,Medium,1,Laboratory Technician,Very High,Married,3162,10778,0,Y,No,17,Excellent,Very High,80,0,6,2,Good,5,2,3,4
641,32,No,Travel_Frequently,379,Sales,5,College,Life Sciences,1,889,Medium,Male,48,High,2,Sales Executive,Medium,Married,6524,8891,1,Y,No,14,Excellent,Very High,80,1,10,3,Better,10,8,5,3
642,38,No,Travel_Rarely,395,Sales,9,Bachelor,Marketing,1,893,Medium,Male,98,Medium,1,Sales Representative,Medium,Married,2899,12102,0,Y,No,19,Excellent,Very High,80,1,3,3,Better,2,2,1,2
643,42,No,Travel_Rarely,1265,Research & Development,3,Bachelor,Life Sciences,1,894,High,Female,95,Very High,2,Laboratory Technician,Very High,Married,5231,23726,2,Y,Yes,13,Excellent,Medium,80,1,17,1,Good,5,3,1,3
644,31,No,Travel_Rarely,1222,Research & Development,11,Master,Life Sciences,1,895,Very High,Male,48,High,1,Research Scientist,Very High,Married,2356,14871,3,Y,Yes,19,Excellent,Medium,80,1,8,2,Better,6,4,0,2
648,37,No,Travel_Frequently,1231,Sales,21,College,Medical,1,900,High,Female,54,High,1,Sales Representative,Very High,Married,2973,21222,5,Y,No,15,Excellent,Medium,80,1,10,3,Better,5,4,0,0
650,43,No,Travel_Frequently,422,Research & Development,1,Bachelor,Life Sciences,1,902,Very High,Female,33,High,2,Healthcare Representative,Very High,Married,5562,21782,4,Y,No,13,Excellent,Medium,80,1,12,2,Good,5,2,2,2
651,47,No,Travel_Rarely,249,Sales,2,College,Marketing,1,903,High,Female,35,High,2,Sales Executive,Very High,Married,4537,17783,0,Y,Yes,22,Outstanding,Low,80,1,8,2,Better,7,6,7,7
652,37,No,Non-Travel,1252,Sales,19,College,Medical,1,904,Low,Male,32,High,3,Sales Executive,Medium,Single,7642,4814,1,Y,Yes,13,Excellent,Very High,80,0,10,2,Better,10,0,0,9
654,39,No,Travel_Rarely,1383,Human Resources,2,Bachelor,Life Sciences,1,909,Very High,Female,42,Medium,2,Human Resources,Very High,Married,5204,7790,8,Y,No,11,Excellent,High,80,2,13,2,Better,5,4,0,4
655,33,No,Travel_Rarely,1075,Human Resources,3,College,Human Resources,1,910,Very High,Male,57,High,1,Human Resources,Medium,Divorced,2277,22650,3,Y,Yes,11,Excellent,High,80,1,7,4,Best,4,3,0,3
656,32,Yes,Travel_Rarely,374,Research & Development,25,Master,Life Sciences,1,911,Low,Male,87,High,1,Laboratory Technician,Very High,Single,2795,18016,1,Y,Yes,24,Outstanding,High,80,0,1,2,Bad,1,0,0,1
659,28,No,Travel_Rarely,821,Sales,5,Master,Medical,1,916,Low,Male,98,High,2,Sales Executive,Very High,Single,4908,24252,1,Y,No,14,Excellent,Medium,80,0,4,3,Better,4,2,0,2
661,43,No,Travel_Rarely,177,Research & Development,8,Bachelor,Life Sciences,1,920,Low,Female,55,High,2,Manufacturing Director,Medium,Divorced,4765,23814,4,Y,No,21,Outstanding,High,80,1,4,2,Best,1,0,0,0
662,20,Yes,Travel_Rarely,500,Sales,2,Bachelor,Medical,1,922,High,Female,49,Medium,1,Sales Representative,High,Single,2044,22052,1,Y,No,13,Excellent,Very High,80,0,2,3,Good,2,2,0,2
663,21,Yes,Travel_Rarely,1427,Research & Development,18,Below College,Other,1,923,Very High,Female,65,High,1,Research Scientist,Very High,Single,2693,8870,1,Y,No,19,Excellent,Low,80,0,1,3,Good,1,0,0,0
664,36,No,Travel_Rarely,1425,Research & Development,14,Below College,Life Sciences,1,924,High,Male,68,High,2,Healthcare Representative,Very High,Married,6586,4821,0,Y,Yes,17,Excellent,Low,80,1,17,2,Good,16,8,4,11
665,47,No,Travel_Rarely,1454,Sales,2,Master,Life Sciences,1,925,Very High,Female,65,Medium,1,Sales Representative,Very High,Single,3294,13137,1,Y,Yes,18,Excellent,Low,80,0,3,3,Good,3,2,1,2
666,22,Yes,Travel_Rarely,617,Research & Development,3,Below College,Life Sciences,1,926,Medium,Female,34,High,2,Manufacturing Director,High,Married,4171,10022,0,Y,Yes,19,Excellent,Low,80,1,4,3,Best,3,2,0,2
667,41,Yes,Travel_Rarely,1085,Research & Development,2,Master,Life Sciences,1,927,Medium,Female,57,Low,1,Laboratory Technician,Very High,Divorced,2778,17725,4,Y,Yes,13,Excellent,High,80,1,10,1,Good,7,7,1,0
668,28,No,Travel_Rarely,995,Research & Development,9,Bachelor,Medical,1,930,High,Female,77,High,1,Research Scientist,High,Divorced,2377,9834,5,Y,No,18,Excellent,Medium,80,1,6,2,Better,2,2,2,2
669,39,Yes,Travel_Rarely,1122,Research & Development,6,Bachelor,Medical,1,932,Very High,Male,70,High,1,Laboratory Technician,Low,Married,2404,4303,7,Y,Yes,21,Outstanding,Very High,80,0,8,2,Bad,2,2,2,2
670,27,No,Travel_Rarely,618,Research & Development,4,Bachelor,Life Sciences,1,933,Medium,Female,76,High,1,Research Scientist,High,Single,2318,17808,1,Y,No,19,Excellent,High,80,0,1,2,Better,1,1,0,0
671,34,No,Travel_Rarely,546,Research & Development,10,Bachelor,Life Sciences,1,934,Medium,Male,83,High,1,Laboratory Technician,Medium,Divorced,2008,6896,1,Y,No,14,Excellent,Medium,80,2,1,3,Better,1,0,1,0
673,33,No,Travel_Rarely,1198,Research & Development,1,Master,Other,1,939,High,Male,100,Medium,1,Research Scientist,Low,Single,2799,3339,3,Y,Yes,11,Excellent,Medium,80,0,6,1,Better,3,2,0,2
675,31,No,Travel_Rarely,154,Sales,7,Master,Life Sciences,1,941,Medium,Male,41,Medium,1,Sales Representative,High,Married,2329,11737,3,Y,No,15,Excellent,Medium,80,0,13,2,Best,7,7,5,2
676,35,No,Travel_Rarely,1137,Research & Development,21,Below College,Life Sciences,1,942,Very High,Female,51,High,2,Healthcare Representative,Very High,Married,4014,19170,1,Y,Yes,25,Outstanding,Very High,80,1,10,2,Bad,10,6,0,7
678,48,No,Travel_Rarely,1469,Research & Development,20,Master,Medical,1,945,Very High,Male,51,High,1,Research Scientist,High,Married,2259,5543,4,Y,No,17,Excellent,Low,80,2,13,2,Good,0,0,0,0
679,31,No,Non-Travel,1188,Sales,20,College,Marketing,1,947,Very High,Female,45,High,2,Sales Executive,High,Married,6932,24406,1,Y,No,13,Excellent,Very High,80,1,9,2,Good,9,8,0,0
682,32,No,Non-Travel,1184,Research & Development,1,Bachelor,Life Sciences,1,951,High,Female,70,Medium,1,Laboratory Technician,Medium,Married,2332,3974,6,Y,No,20,Outstanding,High,80,0,5,3,Better,3,0,0,2
684,40,No,Travel_Rarely,658,Sales,10,Master,Marketing,1,954,Low,Male,67,Medium,3,Sales Executive,Medium,Divorced,9705,20652,2,Y,No,12,Excellent,Medium,80,1,11,2,Good,1,0,0,0
685,26,No,Travel_Frequently,1283,Sales,1,Bachelor,Medical,1,956,High,Male,52,Medium,2,Sales Executive,Low,Single,4294,11148,1,Y,No,12,Excellent,Medium,80,0,7,2,Better,7,7,0,7
688,19,Yes,Travel_Rarely,419,Sales,21,Bachelor,Other,1,959,Very High,Male,37,Medium,1,Sales Representative,Medium,Single,2121,9947,1,Y,Yes,13,Excellent,Medium,80,0,1,3,Best,1,0,0,0
689,20,Yes,Travel_Rarely,129,Research & Development,4,Bachelor,Technical Degree,1,960,Low,Male,84,High,1,Laboratory Technician,Low,Single,2973,13008,1,Y,No,19,Excellent,Medium,80,0,1,2,Better,1,0,0,0
690,31,No,Travel_Rarely,616,Research & Development,12,Bachelor,Medical,1,961,Very High,Female,41,High,2,Healthcare Representative,Very High,Married,5855,17369,0,Y,Yes,11,Excellent,High,80,2,10,2,Bad,9,7,8,5
691,40,No,Travel_Frequently,1469,Research & Development,9,Master,Medical,1,964,Very High,Male,35,High,1,Research Scientist,Medium,Divorced,3617,25063,8,Y,Yes,14,Excellent,Very High,80,1,3,2,Better,1,1,0,0
692,32,No,Travel_Rarely,498,Research & Development,3,Master,Medical,1,966,High,Female,93,High,2,Manufacturing Director,Low,Married,6725,13554,1,Y,No,12,Excellent,High,80,1,8,2,Best,8,7,6,3
694,33,No,Travel_Rarely,1069,Research & Development,1,Bachelor,Life Sciences,1,969,Medium,Female,42,Medium,2,Healthcare Representative,Very High,Single,6949,12291,0,Y,No,14,Excellent,Low,80,0,6,3,Better,5,0,1,4
695,37,Yes,Travel_Rarely,625,Sales,1,Master,Life Sciences,1,970,Low,Male,46,Medium,3,Sales Executive,High,Married,10609,14922,5,Y,No,11,Excellent,High,80,0,17,2,Bad,14,1,11,7
698,35,No,Travel_Rarely,1219,Sales,18,Bachelor,Medical,1,975,High,Female,86,High,2,Sales Executive,High,Married,4601,6179,1,Y,No,16,Excellent,Medium,80,0,5,3,Better,5,2,1,0
700,58,Yes,Travel_Rarely,289,Research & Development,2,Bachelor,Technical Degree,1,977,Very High,Male,51,High,1,Research Scientist,High,Single,2479,26227,4,Y,No,24,Outstanding,Low,80,0,7,4,Better,1,0,0,0
702,30,No,Travel_Rarely,231,Sales,8,College,Other,1,982,High,Male,62,High,3,Sales Executive,High,Divorced,7264,9977,5,Y,No,11,Excellent,Low,80,1,10,2,Best,8,4,7,7
703,38,No,Non-Travel,152,Sales,10,Bachelor,Technical Degree,1,983,High,Female,85,High,2,Sales Executive,Very High,Single,5666,19899,1,Y,Yes,13,Excellent,Medium,80,0,6,1,Better,5,3,1,3
704,35,No,Travel_Rarely,882,Sales,3,Master,Life Sciences,1,984,Very High,Male,92,High,3,Sales Executive,Very High,Divorced,7823,6812,6,Y,No,13,Excellent,Medium,80,1,12,2,Better,10,9,0,8
705,39,No,Travel_Rarely,903,Sales,2,Doctor,Life Sciences,1,985,Low,Male,41,Very High,3,Sales Executive,High,Single,7880,2560,0,Y,No,18,Excellent,Very High,80,0,9,3,Better,8,7,0,7
707,47,No,Travel_Frequently,1379,Research & Development,16,Master,Medical,1,987,High,Male,64,Very High,2,Manufacturing Director,High,Divorced,5067,6759,1,Y,Yes,19,Excellent,High,80,0,20,3,Best,19,10,2,7
708,36,No,Non-Travel,1229,Sales,8,Master,Technical Degree,1,990,Low,Male,84,High,2,Sales Executive,Very High,Divorced,5079,25952,4,Y,No,13,Excellent,Very High,80,2,12,3,Better,7,7,0,7
712,33,No,Travel_Rarely,461,Research & Development,13,Below College,Life Sciences,1,995,Medium,Female,53,High,1,Research Scientist,Very High,Single,3452,17241,3,Y,No,18,Excellent,Low,80,0,5,4,Better,3,2,0,2
713,45,No,Travel_Rarely,974,Research & Development,1,Master,Medical,1,996,Very High,Female,91,High,1,Laboratory Technician,Very High,Divorced,2270,11005,3,Y,No,14,Excellent,Very High,80,2,8,2,Better,5,3,0,2
715,33,No,Travel_Frequently,827,Research & Development,1,Master,Other,1,998,High,Female,84,Very High,2,Healthcare Representative,Medium,Married,5488,20161,1,Y,Yes,13,Excellent,Low,80,1,6,2,Better,6,5,1,2
718,45,No,Non-Travel,248,Research & Development,23,College,Life Sciences,1,1002,Very High,Male,42,High,2,Laboratory Technician,Low,Married,3633,14039,1,Y,Yes,15,Excellent,High,80,1,9,2,Better,9,8,0,8
720,30,Yes,Travel_Rarely,138,Research & Development,22,Bachelor,Life Sciences,1,1004,Low,Female,48,High,1,Research Scientist,High,Married,2132,11539,4,Y,Yes,11,Excellent,Medium,80,0,7,2,Better,5,2,0,1
725,35,Yes,Travel_Rarely,622,Research & Development,14,Master,Other,1,1010,High,Male,39,Medium,1,Laboratory Technician,Medium,Divorced,3743,10074,1,Y,Yes,24,Outstanding,Very High,80,1,5,2,Bad,4,2,0,2
726,31,No,Travel_Frequently,853,Research & Development,1,Below College,Life Sciences,1,1011,High,Female,96,High,2,Manufacturing Director,Low,Married,4148,11275,1,Y,No,12,Excellent,High,80,1,4,1,Better,4,3,0,3
727,18,No,Non-Travel,287,Research & Development,5,College,Life Sciences,1,1012,Medium,Male,73,High,1,Research Scientist,Very High,Single,1051,13493,1,Y,No,15,Excellent,Very High,80,0,0,2,Better,0,0,0,0
729,35,No,Travel_Rarely,583,Research & Development,25,Master,Medical,1,1014,High,Female,57,High,3,Healthcare Representative,High,Divorced,10388,6975,1,Y,Yes,11,Excellent,High,80,1,16,3,Good,16,10,10,1
731,20,Yes,Travel_Rarely,1097,Research & Development,11,Bachelor,Medical,1,1016,Very High,Female,98,Medium,1,Research Scientist,Low,Single,2600,18275,1,Y,Yes,15,Excellent,Low,80,0,1,2,Better,1,0,0,0
732,30,Yes,Travel_Frequently,109,Research & Development,5,Bachelor,Medical,1,1017,Medium,Female,60,High,1,Laboratory Technician,Medium,Single,2422,25725,0,Y,No,17,Excellent,Low,80,0,4,3,Better,3,2,1,2
733,26,No,Travel_Rarely,1066,Research & Development,2,College,Medical,1,1018,Very High,Male,32,Very High,2,Manufacturing Director,Very High,Married,5472,3334,1,Y,No,12,Excellent,Medium,80,0,8,2,Better,8,7,1,3
734,22,No,Travel_Rarely,217,Research & Development,8,Below College,Life Sciences,1,1019,Medium,Male,94,Low,1,Laboratory Technician,Low,Married,2451,6881,1,Y,No,15,Excellent,Low,80,1,4,3,Good,4,3,1,1
739,27,No,Travel_Rarely,1055,Research & Development,2,Master,Life Sciences,1,1027,Low,Female,47,High,2,Manufacturing Director,Very High,Married,4227,4658,0,Y,No,18,Excellent,Medium,80,1,4,2,Better,3,2,2,2
740,35,No,Travel_Rarely,802,Research & Development,10,Bachelor,Other,1,1028,Medium,Male,45,High,1,Laboratory Technician,Very High,Divorced,3917,9541,1,Y,No,20,Outstanding,Low,80,1,3,4,Good,3,2,1,2
744,37,Yes,Travel_Rarely,1141,Research & Development,11,College,Medical,1,1033,Low,Female,61,Low,2,Healthcare Representative,Medium,Married,4777,14382,5,Y,No,15,Excellent,Low,80,0,15,2,Bad,1,0,0,0
745,55,No,Travel_Frequently,135,Research & Development,18,Master,Medical,1,1034,High,Male,62,High,2,Healthcare Representative,Medium,Married,6385,12992,3,Y,Yes,14,Excellent,Very High,80,2,17,3,Better,8,7,6,7
747,38,No,Travel_Rarely,1035,Sales,3,Master,Life Sciences,1,1036,Medium,Male,42,High,2,Sales Executive,Very High,Single,6861,4981,8,Y,Yes,12,Excellent,High,80,0,19,1,Better,1,0,0,0
751,50,No,Non-Travel,145,Sales,1,Bachelor,Life Sciences,1,1040,Very High,Female,95,High,2,Sales Executive,High,Married,6347,24920,0,Y,No,12,Excellent,Low,80,1,19,3,Better,18,7,0,13
752,36,Yes,Travel_Rarely,885,Research & Development,16,Master,Life Sciences,1,1042,High,Female,43,Very High,1,Laboratory Technician,Low,Single,2743,8269,1,Y,No,16,Excellent,High,80,0,18,1,Better,17,13,15,14
754,33,No,Non-Travel,1038,Sales,8,Below College,Life Sciences,1,1044,Medium,Female,88,Medium,1,Sales Representative,Very High,Single,2342,21437,0,Y,No,19,Excellent,Very High,80,0,3,2,Good,2,2,2,2
757,34,No,Travel_Rarely,216,Sales,1,Master,Marketing,1,1047,Medium,Male,75,Very High,2,Sales Executive,Very High,Divorced,9725,12278,0,Y,No,11,Excellent,Very High,80,1,16,2,Good,15,1,0,9
759,45,No,Travel_Rarely,788,Human Resources,24,Master,Medical,1,1049,Medium,Male,36,High,1,Human Resources,Medium,Single,2177,8318,1,Y,No,16,Excellent,Low,80,0,6,3,Better,6,3,0,4
761,36,Yes,Travel_Rarely,660,Research & Development,15,Bachelor,Other,1,1052,Low,Male,81,High,2,Laboratory Technician,High,Divorced,4834,7858,7,Y,No,14,Excellent,Medium,80,1,9,3,Good,1,0,0,0
762,26,Yes,Travel_Frequently,342,Research & Development,2,Bachelor,Life Sciences,1,1053,Low,Male,57,High,1,Research Scientist,Low,Married,2042,15346,6,Y,Yes,14,Excellent,Medium,80,1,6,2,Better,3,2,1,2
763,34,No,Travel_Rarely,1333,Sales,10,Master,Life Sciences,1,1055,High,Female,87,High,1,Sales Representative,High,Married,2220,18410,1,Y,Yes,19,Excellent,Very High,80,1,1,2,Better,1,1,0,0
765,38,No,Travel_Frequently,1186,Research & Development,3,Master,Other,1,1060,High,Male,44,High,1,Research Scientist,High,Married,2821,2997,3,Y,No,16,Excellent,Low,80,1,8,2,Better,2,2,2,2
767,37,No,Travel_Rarely,124,Research & Development,3,Bachelor,Other,1,1062,Very High,Female,35,High,2,Healthcare Representative,Medium,Single,4107,13848,3,Y,No,15,Excellent,Low,80,0,8,3,Good,4,3,0,1
768,40,No,Travel_Rarely,300,Sales,26,Bachelor,Marketing,1,1066,High,Male,74,High,2,Sales Executive,Low,Married,8396,22217,1,Y,No,14,Excellent,Medium,80,1,8,3,Good,7,7,7,5
771,54,No,Travel_Rarely,1082,Sales,2,Master,Life Sciences,1,1070,High,Female,41,Medium,3,Sales Executive,High,Married,10686,8392,6,Y,No,11,Excellent,Medium,80,1,13,4,Better,9,4,7,0
772,56,No,Travel_Frequently,1240,Research & Development,9,Bachelor,Medical,1,1071,Low,Female,63,High,1,Research Scientist,High,Married,2942,12154,2,Y,No,19,Excellent,Medium,80,1,18,4,Better,5,4,0,3
773,36,No,Travel_Rarely,796,Research & Development,12,Doctor,Medical,1,1073,Very High,Female,51,Medium,3,Manufacturing Director,Very High,Single,8858,15669,0,Y,No,11,Excellent,Medium,80,0,15,2,Good,14,8,7,8
776,20,Yes,Travel_Frequently,769,Sales,9,Bachelor,Marketing,1,1077,Very High,Female,54,High,1,Sales Representative,Very High,Single,2323,17205,1,Y,Yes,14,Excellent,Medium,80,0,2,3,Better,2,2,0,2
780,28,Yes,Non-Travel,1366,Research & Development,24,College,Technical Degree,1,1082,Medium,Male,72,Medium,3,Healthcare Representative,Low,Single,8722,12355,1,Y,No,12,Excellent,Low,80,0,10,2,Good,10,7,1,9
781,26,No,Travel_Rarely,192,Research & Development,1,College,Medical,1,1083,Low,Male,59,Medium,1,Laboratory Technician,Low,Married,3955,11141,1,Y,No,16,Excellent,Low,80,2,6,2,Better,5,3,1,3
782,30,No,Travel_Rarely,1176,Research & Development,20,Bachelor,Other,1,1084,High,Male,85,High,2,Manufacturing Director,Low,Married,9957,9096,0,Y,No,15,Excellent,High,80,1,7,1,Good,6,2,0,2
783,41,No,Travel_Rarely,509,Research & Development,7,College,Technical Degree,1,1085,Medium,Female,43,Very High,1,Research Scientist,High,Married,3376,18863,1,Y,No,13,Excellent,High,80,0,10,3,Better,10,6,0,8
784,38,No,Travel_Rarely,330,Research & Development,17,Below College,Life Sciences,1,1088,High,Female,65,Medium,3,Healthcare Representative,High,Married,8823,24608,0,Y,No,18,Excellent,Low,80,1,20,4,Good,19,9,1,9
788,28,No,Travel_Rarely,857,Research & Development,10,Bachelor,Other,1,1097,High,Female,59,High,2,Research Scientist,High,Single,3660,7909,3,Y,No,13,Excellent,Very High,80,0,10,4,Best,8,7,1,7
790,33,No,Travel_Rarely,654,Research & Development,5,Bachelor,Life Sciences,1,1099,Very High,Male,34,Medium,3,Healthcare Representative,Very High,Divorced,7119,21214,4,Y,No,15,Excellent,High,80,1,9,2,Better,3,2,1,2
791,35,Yes,Travel_Rarely,1204,Sales,4,Bachelor,Technical Degree,1,1100,Very High,Male,86,High,3,Sales Executive,Low,Single,9582,10333,0,Y,Yes,22,Outstanding,Low,80,0,9,2,Better,8,7,4,7
792,33,Yes,Travel_Frequently,827,Research & Development,29,Master,Medical,1,1101,Low,Female,54,Medium,2,Research Scientist,High,Single,4508,3129,1,Y,No,22,Outstanding,Medium,80,0,14,4,Better,13,7,3,8
794,34,No,Travel_Frequently,618,Research & Development,3,Below College,Life Sciences,1,1103,Low,Male,45,High,2,Healthcare Representative,Very High,Single,7756,22266,0,Y,No,17,Excellent,High,80,0,7,1,Good,6,2,0,4
796,25,Yes,Travel_Rarely,1219,Research & Development,4,Below College,Technical Degree,1,1106,Very High,Male,32,High,1,Laboratory Technician,Very High,Married,3691,4605,1,Y,Yes,15,Excellent,Medium,80,1,7,3,Best,7,7,5,6
800,28,Yes,Travel_Frequently,1009,Research & Development,1,Bachelor,Medical,1,1111,Low,Male,45,Medium,1,Laboratory Technician,Medium,Divorced,2596,7160,1,Y,No,15,Excellent,Low,80,2,1,2,Better,1,0,0,0
801,50,Yes,Travel_Frequently,959,Sales,1,Master,Other,1,1113,Very High,Male,81,High,2,Sales Executive,High,Single,4728,17251,3,Y,Yes,14,Excellent,Very High,80,0,5,4,Better,0,0,0,0
802,33,No,Travel_Frequently,970,Sales,7,Bachelor,Life Sciences,1,1114,Very High,Female,30,High,2,Sales Executive,Medium,Married,4302,13401,0,Y,No,17,Excellent,High,80,1,4,3,Better,3,2,0,2
805,45,No,Non-Travel,1050,Sales,9,Master,Life Sciences,1,1117,Medium,Female,65,Medium,2,Sales Executive,High,Married,5593,17970,1,Y,No,13,Excellent,Very High,80,1,15,2,Better,15,10,4,12
806,52,No,Travel_Rarely,994,Research & Development,7,Master,Life Sciences,1,1118,Medium,Male,87,High,3,Healthcare Representative,Medium,Single,10445,15322,7,Y,No,19,Excellent,Very High,80,0,18,4,Better,8,6,4,0
807,38,No,Travel_Rarely,770,Sales,10,Master,Marketing,1,1119,High,Male,73,Medium,3,Sales Executive,High,Divorced,8740,5569,0,Y,Yes,14,Excellent,Medium,80,2,9,2,Better,8,7,2,7
808,29,No,Travel_Rarely,1107,Research & Development,28,Master,Life Sciences,1,1120,High,Female,93,High,1,Research Scientist,Very High,Divorced,2514,26968,4,Y,No,22,Outstanding,Low,80,1,11,1,Better,7,5,1,7
811,38,No,Travel_Rarely,130,Sales,2,College,Marketing,1,1125,Very High,Male,32,High,3,Sales Executive,Medium,Single,7351,20619,7,Y,No,16,Excellent,High,80,0,10,2,Better,1,0,0,0
818,31,No,Travel_Frequently,793,Sales,20,Bachelor,Life Sciences,1,1135,High,Male,67,Very High,1,Sales Representative,Very High,Married,2791,21981,0,Y,No,12,Excellent,Low,80,1,3,4,Better,2,2,2,2
